Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Item_Category,Outlet_Years,Price_Per_Unit_Weight,Item_MRP_Clusters
FDA15,9.3,Low Fat,0.016047301,Dairy,249.8092,OUT049,1999,Medium,Tier 1,Supermarket Type1,3735.138,FD,20,26.86120430107527,4th
DRC01,5.92,Regular,0.019278216,Soft Drinks,48.2692,OUT018,2009,Medium,Tier 3,Supermarket Type2,443.4228,DR,10,8.15358108108108,1st
FDN15,17.5,Low Fat,0.016760075,Meat,141.618,OUT049,1999,Medium,Tier 1,Supermarket Type1,2097.27,FD,20,8.092457142857143,3rd
FDX07,19.2,Regular,0.07048184085069402,Fruits and Vegetables,182.095,OUT010,1998,Small,Tier 3,Grocery Store,732.38,FD,21,9.484114583333334,3rd
NCD19,8.93,Non Edible,0.07048184085069402,Household,53.8614,OUT013,1987,High,Tier 3,Supermarket Type1,994.7052,NC,32,6.031511758118701,1st
FDP36,10.395,Regular,0.07048184085069402,Baking Goods,51.4008,OUT018,2009,Medium,Tier 3,Supermarket Type2,556.6088,FD,10,4.944761904761904,1st
FDO10,13.65,Regular,0.012741089,Snack Foods,57.6588,OUT013,1987,High,Tier 3,Supermarket Type1,343.5528,FD,32,4.224087912087912,1st
FDP10,12.857645184135976,Low Fat,0.127469857,Snack Foods,107.7622,OUT027,1985,Medium,Tier 3,Supermarket Type3,4022.7636,FD,34,8.381176992888184,2nd
FDH17,16.2,Regular,0.016687114,Frozen Foods,96.9726,OUT045,2002,Small,Tier 2,Supermarket Type1,1076.5986,FD,17,5.985962962962963,2nd
FDU28,19.2,Regular,0.09444959,Frozen Foods,187.8214,OUT017,2007,Small,Tier 2,Supermarket Type1,4710.535,FD,12,9.782364583333335,3rd
FDY07,11.8,Low Fat,0.07048184085069402,Fruits and Vegetables,45.5402,OUT049,1999,Medium,Tier 1,Supermarket Type1,1516.0266,FD,20,3.859338983050847,1st
FDA03,18.5,Regular,0.045463773,Dairy,144.1102,OUT046,1997,Small,Tier 1,Supermarket Type1,2187.153,FD,22,7.78974054054054,3rd
FDX32,15.1,Regular,0.1000135,Fruits and Vegetables,145.4786,OUT049,1999,Medium,Tier 1,Supermarket Type1,1589.2646,FD,20,9.634344370860928,3rd
